Nr. | ISIN         | Bezeichnung des Wertpapiers                                       
----|--------------|-------------------------------------------------------------------
1   | US88579Y1010 | 3M Company (Dow Jones)                                            
2   | DE000A1EWWW0 | Adidas (DAX / EURO STOXX 50)                                      
3   | NL0012969182 | Adyen (EURO STOXX 50)                                             
4   | NL0011794037 | Ahold Delhaize (EURO STOXX 50)                                    
5   | HK0000069689 | AIA Group Ltd. (Hong Kong (Hang Seng))                            
6   | FR0000120073 | Air Liquide (EURO STOXX 50)                                       
7   | NL0000235190 | Airbus (DAX / EURO STOXX 50)                                      
8   | CH0432492467 | Alcon (STOXX Europe 50)                                           
9   | KYG017191142 | Alibaba Group Holding Ltd. (Hong Kong (Hang Seng))                
10  | DE0008404005 | Allianz (DAX / EURO STOXX 50 / STOXX Europe 50)                   
11  | US02079K3059 | Alphabet Inc. (Dow Jones)                                         
12  | DE000A0LDVA1 | Alstria Office REIT (MDAX)                                        
13  | US0231351067 | Amazon.com Inc. (Dow Jones)                                       
14  | US0311621009 | Amgen Inc. (Dow Jones)                                            
15  | BE0974293251 | Anheuser-Busch InBev (EURO STOXX 50)                              
16  | US0378331005 | Apple Inc. (Dow Jones)                                            
17  | NL0010273215 | ASML Holding (EURO STOXX 50 / STOXX Europe 50)                    
18  | GB0009895310 | AstraZeneca (STOXX Europe 50)                                     
19  | GB0009895292 | AstraZeneca PLC (STOXX Europe 50)                                 
20  | FR0000120628 | AXA (EURO STOXX 50)                                               
21  | ES0113211835 | Banco Bilbao Vizcaya Argentaria (EURO STOXX 50)                   
22  | ES0113900J37 | Banco Santander (EURO STOXX 50)                                   
23  | DE000BASF111 | BASF SE (DAX / EURO STOXX 50)                                     
24  | DE000BAY0017 | Bayer AG (DAX / EURO STOXX 50)                                    
25  | DE0005200000 | Beiersdorf AG (SDAX)                                              
26  | AU000000BHP4 | BHP Group Ltd. (Australien (ASX 200))                             
27  | DE0005190003 | BMW AG (DAX / EURO STOXX 50)                                      
28  | FR0000131104 | BNP Paribas (EURO STOXX 50)                                       
29  | US0970231058 | Boeing Company (Dow Jones)                                        
30  | GB0007980591 | BP (STOXX Europe 50)                                              
31  | DE0006983008 | Brenntag SE (DAX)                                                 
32  | US1491231015 | Caterpillar Inc. (Dow Jones)                                      
33  | DE000CEG1111 | Ceconomy AG (SDAX)                                                
34  | CNE1000002H1 | China Construction Bank Corp. (Hong Kong (Hang Seng))             
35  | HK0002007356 | CLP Holdings Ltd. (Hong Kong (Hang Seng))                         
36  | DE000CBK1001 | Commerzbank AG (DAX)                                              
37  | AU000000CBA7 | Commonwealth Bank of Australia (Australien (ASX 200))             
38  | DE0005439004 | Continental AG (DAX)                                              
39  | AU000000CSL8 | CSL Ltd. (Australien (ASX 200))                                   
40  | FR0000120644 | Danone (EURO STOXX 50)                                            
41  | US2435371073 | Deckers Outdoor Corp. (USA Mittelgroß (S&P 400))                  
42  | DE000A2E4K43 | Delivery Hero SE (MDAX)                                           
43  | US2473617023 | Delta Air Lines Inc. (Dow Jones)                                  
44  | DE0005140008 | Deutsche Bank (DAX / EURO STOXX 50)                               
45  | DE0005810055 | Deutsche Börse AG (DAX / EURO STOXX 50)                           
46  | DE0005557508 | Deutsche Telekom (DAX)                                            
47  | DE0006305006 | Deutz AG (SDAX)                                                   
48  | DE0005552004 | DHL Group (DAX / EURO STOXX 50)                                   
49  | GB0002374006 | Diageo (STOXX Europe 50)                                          
50  | DE000EONGB04 | E.ON SE (DAX)                                                     
51  | IT0003128367 | Enel (EURO STOXX 50)                                              
52  | IT0003132476 | ENI (EURO STOXX 50)                                               
53  | FR0000121667 | EssilorLuxottica (EURO STOXX 50)                                  
54  | DE000EVNK013 | Evonik Industries AG (MDAX)                                       
55  | JP3802300008 | Fast Retailing Co. Ltd. (Tokio (Nikkei 225))                      
56  | NL0011585146 | Ferrari (EURO STOXX 50)                                           
57  | IE00BWT6H894 | Flutter Entertainment (EURO STOXX 50)                             
58  | DE000A0Z2ZZ5 | Freenet AG (SDAX)                                                 
59  | DE0005785604 | Fresenius Medical Care (SDAX)                                     
60  | DE000KGX8881 | GEA Group AG (DAX)                                                
61  | GB00BL6K5285 | Glencore (STOXX Europe 50)                                        
62  | US3802371010 | GoDaddy Inc. (USA Mittelgroß (S&P 400))                           
63  | US38141G1040 | Goldman Sachs Group Inc. (Dow Jones)                              
64  | US3841091040 | Graco Inc. (USA Mittelgroß (S&P 400))                             
65  | DE0008402215 | Hannover Rück SE (MDAX)                                           
66  | DE0006047004 | Heidelberg Materials AG (DAX)                                     
67  | DE000A161408 | HelloFresh SE (MDAX)                                              
68  | FR0000052292 | Hermes International (EURO STOXX 50)                              
69  | HK0388045442 | Hong Kong Exchanges & Clearing Ltd. (Hong Kong (Hang Seng))       
70  | DE000A1PHFF7 | Hugo Boss AG (MDAX)                                               
71  | ES0144580Y14 | Iberdrola (EURO STOXX 50)                                         
72  | ES0148396007 | Inditex (EURO STOXX 50)                                           
73  | DE0006231004 | Infineon Technologies AG (DAX / EURO STOXX 50)                    
74  | NL0011821202 | ING Groep (EURO STOXX 50)                                         
75  | IT0000072618 | Intesa Sanpaolo (EURO STOXX 50)                                   
76  | US46625H1005 | JPMorgan Chase & Co. (Dow Jones)                                  
77  | FR0000121485 | Kering (EURO STOXX 50)                                            
78  | JP3236200006 | Keyence Corp. (Tokio (Nikkei 225))                                
79  | DE000A1YDEX1 | Kion Group AG (SDAX)                                              
80  | DE000KBX1006 | Knorr-Bremse AG (MDAX)                                            
81  | FR0000120321 | L'Oréal (EURO STOXX 50)                                           
82  | DE0006083405 | Lanxess AG (MDAX)                                                 
83  | DE000LEG1110 | LEG Immobilien SE (MDAX)                                          
84  | US53227V1008 | Light & Wonder, Inc. (USA Mittelgroß (S&P 400))                   
85  | DE0008232125 | Lufthansa AG (MDAX)                                               
86  | DE0006483001 | Lufthansa AG (MDAX)                                               
